Code,Name,AddressLineOne,InvoiceDate,SerialNo,Total,Age,Balance
CD0510_NSF,Sri Lak Pharmacy,"Kotugoda Road, Mukalangamuwa, Seeduwa.",15/07/2023 00:00,DSR30DSI006283,40691.9,56,40691.9
CD0201_NSF,Wasantha Disanayaka Dr.,Averiwatta,15/07/2023 00:00,7135DSI006288,37207.6,56,37207.6
CD0544_NSF,Prasanjaya Dr.,"Dalupotha, Negombo.",17/07/2023 00:00,7135DSI006311,8996.34,54,8996.34
CD0467_NSF,Laksiri Lokuliayana Dr.,"643, St. Marys Road, Ja-Ela.",17/07/2023 00:00,DSR30DSI006322,26523.12,54,26523.12
CD0083_NSF,Leesons Pharmacy,"33 TEWATTE ROAD,RAGAMA, RAGAMA",18/07/2023 00:00,DSR30DSI006389,98564.2,53,80799.01
COLD60746_NSF,Kahawevitharana P.M.Dr.,"NO.42,DR.JAYALATH JAYAWARDHANA MW,WELIGAMPITIYA,JA-ELA.",18/07/2023 00:00,7135DSI006391,7878.2,53,7878.2
CD0240_NSF,Hiru Pharmacy,"Daman Handiya,",18/07/2023 00:00,DSR30DSI006396,452479,53,452479
CD0240_NSF,Hiru Pharmacy,"Daman Handiya,",18/07/2023 00:00,DSR30DSI006397,249620.76,53,249620.76
CD0441_NSF,Isura Pharmacy,"No. 621 C, Tewatta Road, Ragama.",19/07/2023 00:00,DSR30DSI006403,15572.83,52,15572.83
COLD60746_NSF,Kahawevitharana P.M.Dr.,"NO.42,DR.JAYALATH JAYAWARDHANA MW,WELIGAMPITIYA,JA-ELA.",19/07/2023 00:00,7135DSI006426,7087,52,7087
CD0481_NSF,Reliance Pharmacy,"No. 213, Colombo Road, Negombo.",19/07/2023 00:00,DSR30DSI006434,48588.96,52,48588.96
CD0141_NSF,Ragama Pharmacy,"34 Tewatta Rd, , Ragama",20/07/2023 00:00,DSR30DSI006450,12376.9,51,12376.9
CD0141_NSF,Ragama Pharmacy,"34 Tewatta Rd, , Ragama",20/07/2023 00:00,7135DSI006451,234758.75,51,234758.75
CD0087_NSF,M.P.C.S. (Osu Sala),"358 Main Street,, Negombo",20/07/2023 00:00,7135DSI006476,61986.29,51,41002.45
CD0099_NSF,Milan Pharmacy,Wattala,20/07/2023 00:00,DSR30DSI006481,24900.65,51,24900.65
CD0141_NSF,Ragama Pharmacy,"34 Tewatta Rd, , Ragama",20/07/2023 00:00,DSR30DSI006485,22633.2,51,22633.2
CD0083_NSF,Leesons Pharmacy,"33 TEWATTE ROAD,RAGAMA, RAGAMA",20/07/2023 00:00,7135DSI006490,226960.48,51,226960.48
CD0099_NSF,Milan Pharmacy,Wattala,21/07/2023 00:00,DSR30DSI006496,30177.6,50,30177.6
CD0099_NSF,Milan Pharmacy,Wattala,21/07/2023 00:00,DSR30DSI006507,22921.6,50,22921.6
CD0474_NSF,Pradipa Osusala  Grocery,"No. 31G, Katana Road, Thibirigaskatuwa, Negombo.",21/07/2023 00:00,7135DSI006510,58352.82,50,43352.82
CD0240_NSF,Hiru Pharmacy,"Daman Handiya,",21/07/2023 00:00,DSR30DSI006533,281195,50,281195
CD0232_NSF,Sarath Premasiri H. B. Dr.,"Main treet,",22/07/2023 00:00,DSR30DSI006542,33109.56,49,33109.56
CD0258_NSF,Rilaulla Pharmacy,"No.186,Colombo Rd,Kandana.",24/07/2023 00:00,7135DSI006595,68835.3,47,68835.3
CD0285_NSF,Chinthaka Rathnayaka Dr.,"Shanthi Medical Centre, 309, Hendala Road, Wattala.",24/07/2023 00:00,7135DSI006600,102991.2,47,102991.2
CD0285_NSF,Chinthaka Rathnayaka Dr.,"Shanthi Medical Centre, 309, Hendala Road, Wattala.",24/07/2023 00:00,7135DSI006601,189666.11,47,189666.11
CD0285_NSF,Chinthaka Rathnayaka Dr.,"Shanthi Medical Centre, 309, Hendala Road, Wattala.",24/07/2023 00:00,DSR30DSI006602,229797.16,47,229797.16
CD0285_NSF,Chinthaka Rathnayaka Dr.,"Shanthi Medical Centre, 309, Hendala Road, Wattala.",24/07/2023 00:00,DSR30DSI006603,57304,47,57304
CD0346_NSF,Laksi Pharmacy,"No. 27, Negombo Road, Peliyagoda.",24/07/2023 00:00,DSR30DSI006606,7772.87,47,7772.87
COLD13957_NSF,Negombo Drugs,"NO.79B,SEA STREET,NEGOMBO.",24/07/2023 00:00,DSR30DSI006612,35102.38,47,35102.38
CD0063_NSF,J  J Pharmacy,Negombo,24/07/2023 00:00,DSR30DSI006613,10425.2,47,10425.2
CD0138_NSF,P.J. ENTERPRISES (PVT) Ltd.,"No.124,Main Street,Ja -ela",24/07/2023 00:00,7135DSI006614,81726.72,47,47772.53
CD0539_NSF,Thenuka Pharmacy,"No. 306, Kimbulapitiya Road, Akkarapanaha, Negombo.",24/07/2023 00:00,DSR30DSI006637,85035.2,47,34683.2
CD0023_NSF,City Medical,"299 Main treet, , Negombo",25/07/2023 00:00,DSR30DSI006638,60727.42,46,60727.42
CD0147_NSF,Robert Medical,Negombo,25/07/2023 00:00,DSR30DSI006646,14635.83,46,9571.74
COLD13859_NSF,Harsha Gunasekara Dr.,"NO.861,VIHARA MW,THEWATTA,RAGAMA.",25/07/2023 00:00,7135DSI006659,11923.2,46,11923.2
CD0285_NSF,Chinthaka Rathnayaka Dr.,"Shanthi Medical Centre, 309, Hendala Road, Wattala.",25/07/2023 00:00,7135DSI006665,4652.2,46,4652.2
COLD14005_NSF,Anuja Fernando Dr.,"DEVON DISPENSARY,NO.119/3,BASE LINE ROAD,AMANDOLUWA,SEEDUWA.",25/07/2023 00:00,7135DSI006668,19695.5,46,19695.5
COLD14005_NSF,Anuja Fernando Dr.,"DEVON DISPENSARY,NO.119/3,BASE LINE ROAD,AMANDOLUWA,SEEDUWA.",25/07/2023 00:00,7135DSI006669,47843.4,46,47843.4
COLD14005_NSF,Anuja Fernando Dr.,"DEVON DISPENSARY,NO.119/3,BASE LINE ROAD,AMANDOLUWA,SEEDUWA.",25/07/2023 00:00,7135DSI006670,22033.8,46,22033.8
COLD15067_NSF,Get Well Pharmacy,"NO.172,MEERIGAMA ROAD,MAHAHUNUPITIYA.",25/07/2023 00:00,DSR30DSI006672,20306.22,46,20306.22
COLD57830_NSF,Medi Maxx Pharmacy & Grocery,"KOCHCHIKADE ROAD,ANDIMULLA,HALPE,KATANA.",25/07/2023 00:00,7135DSI006684,75187.02,46,75187.02
CD0063_NSF,J  J Pharmacy,Negombo,25/07/2023 00:00,DSR30DSI006692,1569.24,46,1569.24
CD0201_NSF,Wasantha Disanayaka Dr.,Averiwatta,26/07/2023 00:00,7135DSI006707,19165.2,45,19165.2
CD0481_NSF,Reliance Pharmacy,"No. 213, Colombo Road, Negombo.",26/07/2023 00:00,DSR30DSI006726,15088.8,45,15088.8
CD0145_NSF,Reliable Pharmacy,"505 Negombo Road,, Ragama",26/07/2023 00:00,7135DSI006736,53841.54,45,53841.54
CD0020_NSF,Cash Customer - Colombo D,NEGOMBO,26/07/2023 00:00,DSR30DSI006748,14182.9,45,14182.9
CD0107_NSF,New Central Pharmacy,Negombo,26/07/2023 00:00,DSR30DSI006752,50756.16,45,40906.6
CD0082_NSF,Leesons Hospital,"33 Tewatte Road,Ragama, Ragama",27/07/2023 00:00,7135DSI006758,305440.5,44,305440.5
CD0082_NSF,Leesons Hospital,"33 Tewatte Road,Ragama, Ragama",27/07/2023 00:00,7135DSI006759,305440.5,44,305440.5
CD0082_NSF,Leesons Hospital,"33 Tewatte Road,Ragama, Ragama",27/07/2023 00:00,7135DSI006760,418690,44,418690
CD0181_NSF,Super Medical,Negombo,27/07/2023 00:00,7135DSI006778,72646.46,44,72646.46
CD0220_NSF,The Pharmacy,"No.136,Colombo Rd,",27/07/2023 00:00,7135DSI006783,35639.95,44,35639.95
CD0481_NSF,Reliance Pharmacy,"No. 213, Colombo Road, Negombo.",27/07/2023 00:00,7135DSI006784,64001.13,44,64001.13
CD0181_NSF,Super Medical,Negombo,27/07/2023 00:00,7135DSI006786,11499.36,44,11499.36
COLD15067_NSF,Get Well Pharmacy,"NO.172,MEERIGAMA ROAD,MAHAHUNUPITIYA.",28/07/2023 00:00,7135DSI006838,36731.49,43,36731.49
COLD15067_NSF,Get Well Pharmacy,"NO.172,MEERIGAMA ROAD,MAHAHUNUPITIYA.",28/07/2023 00:00,7135DSI006840,2363.46,43,2363.46
CD0160_NSF,Seeduwa Medicals,Seeduwa,28/07/2023 00:00,DSR30DSI006855,28340.03,43,28340.03
CD0147_NSF,Robert Medical,Negombo,29/07/2023 00:00,7135DSI006860,12383.02,42,12383.02
CD0160_NSF,Seeduwa Medicals,Seeduwa,29/07/2023 00:00,DSR30DSI006862,4610.26,42,4610.26
CD0408_NSF,International Institute of Health of Science,"No.704,Negombo Road,Walisara.",29/07/2023 00:00,7135DSI006864,86858.24,42,84508.24
CD0467_NSF,Laksiri Lokuliayana Dr.,"643, St. Marys Road, Ja-Ela.",29/07/2023 00:00,7135DSI006866,3939.1,42,3939.1
CD0107_NSF,New Central Pharmacy,Negombo,29/07/2023 00:00,7135DSI006873,46763.24,42,46763.24
CD0240_NSF,Hiru Pharmacy,"Daman Handiya,",29/07/2023 00:00,DSR30DSI006875,262591.56,42,172915.08
CD0160_NSF,Seeduwa Medicals,Seeduwa,29/07/2023 00:00,7135DSI006886,70965.48,42,59754.52
COLD15262_NSF,The Medic Pharmacy,"NO.452/B/1,NEGOMBO ROAD,KIMBULAPITIYA.",31/07/2023 00:00,7135DSI006889,21168.01,40,21168.01
CD0249_NSF,Roshini Pharmacy,"No. 451, Negombo Rd, Dadugama",31/07/2023 00:00,7135DSI006904,19695.5,40,19695.5
CD0146_NSF,Rio Pharmacy,Hendala,31/07/2023 00:00,7135DSI006906,14692.16,40,14692.16
CD0259_NSF,Crystal Pharmacy,"No.118,Colombo Rd,Negombo",31/07/2023 00:00,DSR30DSI006913,75444,40,75444
CD0263_NSF,Dissanayaka N.M.Dr.,"Main Street,Wattala",31/07/2023 00:00,7135DSI006922,39391,40,39391
CD0450_NSF,Royal Pharmacy,"321B, Chilaw Road, Periyamulla, Negombo.",31/07/2023 00:00,7135DSI006925,11271.48,40,10274.96
CD0446_NSF,The Pharmacy APY (Pvt) Ltd,"No.107A,St. Marys Rd,Silva Place,Ja-Ela.",31/07/2023 00:00,7135DSI006943,13876.88,40,13876.88
CD0138_NSF,P.J. ENTERPRISES (PVT) Ltd.,"No.124,Main Street,Ja -ela",31/07/2023 00:00,DSR30DSI006947,63111.18,40,57189.45
CD0194_NSF,Unique Pharmacy,"103 Colombo Road,, Negombo",31/07/2023 00:00,7135DSI006957,69782.45,40,69782.45
CD0194_NSF,Unique Pharmacy,"103 Colombo Road,, Negombo",31/07/2023 00:00,7135DSI006958,112714.8,40,112714.8
CD0141_NSF,Ragama Pharmacy,"34 Tewatta Rd, , Ragama",31/07/2023 00:00,7135DSI006962,6803.82,40,6803.82
CD0163_NSF,Sethma Pharmacy,Kandana,31/07/2023 00:00,7135DSI006964,33684.96,40,28963.94
CD0176_NSF,St. Marrys Pharmacy - KA,Katunayake,31/07/2023 00:00,DSR30DSI006969,73162,40,73162
CD0486_NSF,Royal Pharmacy Lanka (Pvt) Ltd.,"No.446,Chilaw Road,Negombo.",31/07/2023 00:00,DSR30DSI006971,281195,40,281195
CD0088_NSF,Mahajana Osu Sala,Negombo,31/07/2023 00:00,7135DSI006974,4982.6,40,4982.6
CD0035_NSF,Ekala Pharmacy,Ja-Ela,31/07/2023 00:00,DSR30DSI006976,10425.68,40,10425.68
CD0035_NSF,Ekala Pharmacy,Ja-Ela,31/07/2023 00:00,7135DSI006977,40974.38,40,38679.87
CD0035_NSF,Ekala Pharmacy,Ja-Ela,31/07/2023 00:00,DSR30DSI006978,9412.2,40,9412.2
CD0164_NSF,Shanthi Vidya Nivasa,Katana,31/07/2023 00:00,DSR30DSI006979,48391.5,40,48391.5
CD0164_NSF,Shanthi Vidya Nivasa,Katana,31/07/2023 00:00,DSR30DSI006980,42956.6,40,35130.5
CD0053_NSF,Health Care Medicla,"38 Galakanda Junction,  , Negombo",31/07/2023 00:00,DSR30DSI006984,21433.08,40,21433.08
CD0057_NSF,Hendala Pharmacy,Wattala,31/07/2023 00:00,DSR30DSI006985,12502.63,40,12502.63
COLD15262_NSF,The Medic Pharmacy,"NO.452/B/1,NEGOMBO ROAD,KIMBULAPITIYA.",31/07/2023 00:00,7135DSI006988,4982.6,40,4982.6
CD0194_NSF,Unique Pharmacy,"103 Colombo Road,, Negombo",31/07/2023 00:00,7135DSI006989,28748.4,40,28748.4
CD0194_NSF,Unique Pharmacy,"103 Colombo Road,, Negombo",31/07/2023 00:00,7135DSI006991,77984.4,40,77984.4
CD0160_NSF,Seeduwa Medicals,Seeduwa,31/07/2023 00:00,7135DSI006999,7187.1,40,7187.1
CD0446_NSF,The Pharmacy APY (Pvt) Ltd,"No.107A,St. Marys Rd,Silva Place,Ja-Ela.",31/07/2023 00:00,7135DSI007001,116410.56,40,116410.56
CD0497_NSF,Nimal Sovis Dr.,"No. 164, Kudahakapola South, Ja-Ela.",31/07/2023 00:00,DSR30DSI007011,31168.68,40,23280
COLD60775_NSF,Tesmal Fernando Dr.,"NO.07,USWETAKEIYAWA ROAD,BOPITIYA,PAMUNUGAMA.",31/07/2023 00:00,7135DSI007012,39391,40,39391
COLD60775_NSF,Tesmal Fernando Dr.,"NO.07,USWETAKEIYAWA ROAD,BOPITIYA,PAMUNUGAMA.",31/07/2023 00:00,7135DSI007013,22834.7,40,22834.7
CD0138_NSF,P.J. ENTERPRISES (PVT) Ltd.,"No.124,Main Street,Ja -ela",31/07/2023 00:00,7135DSI007014,138956.05,40,123489.3
CD0107_NSF,New Central Pharmacy,Negombo,31/07/2023 00:00,7135DSI007023,50491.56,40,50491.56
COLD22555_NSF,Nilan Wijenayaka C.Dr.,"NO.70C3,JATHIKA NIWASA YOJANA KRAMA RD,KOSWALA,RADDOLUGAMA.",31/07/2023 00:00,7135DSI007039,30597.2,40,30597.2
CD0486_NSF,Royal Pharmacy Lanka (Pvt) Ltd.,"No.446,Chilaw Road,Negombo.",31/07/2023 00:00,DSR30DSI007045,115610,40,115610
CD0163_NSF,Sethma Pharmacy,Kandana,31/07/2023 00:00,DSR30DSI007049,150959.5,40,150959.5
CD0088_NSF,Mahajana Osu Sala,Negombo,31/07/2023 00:00,7135DSI007050,223836.28,40,221515.77
CD0181_NSF,Super Medical,Negombo,31/07/2023 00:00,DSR30DSI007054,91634.5,40,91634.5
COLD56566_NSF,St. Mary's Osu Sala,"NO.204/B/1,COLOMBO ROAD,USWETAKEIYAWA.",31/07/2023 00:00,7135DSI007055,29302.72,40,26085.32
CD0138_NSF,P.J. ENTERPRISES (PVT) Ltd.,"No.124,Main Street,Ja -ela",31/07/2023 00:00,7135DSI007056,118173,40,118173
CD0023_NSF,City Medical,"299 Main treet, , Negombo",31/07/2023 00:00,7135DSI007058,64650.5,40,64650.5
CD0023_NSF,City Medical,"299 Main treet, , Negombo",31/07/2023 00:00,DSR30DSI007059,50418.4,40,50418.4
CD0071_NSF,Kalidson Pharmacy,Negombo,31/07/2023 00:00,7135DSI007064,116410.8,40,116410.8
CD0071_NSF,Kalidson Pharmacy,Negombo,31/07/2023 00:00,7135DSI007065,70903.8,40,70903.8
CD0406_NSF,Melsta Hospital Ragama (Pvt) Ltd,"NO. 43, MAHABAGE ROAD, RAGAMA.",31/07/2023 00:00,7135DSI007072,162808.4,40,162808.4
CD0071_NSF,Kalidson Pharmacy,Negombo,31/07/2023 00:00,DSR30DSI007073,125890.34,40,125890.34
CD0163_NSF,Sethma Pharmacy,Kandana,31/07/2023 00:00,7135DSI007076,244439.68,40,244439.68
CD0145_NSF,Reliable Pharmacy,"505 Negombo Road,, Ragama",31/07/2023 00:00,7135DSI007078,42708.37,40,42708.37
CD0141_NSF,Ragama Pharmacy,"34 Tewatta Rd, , Ragama",31/07/2023 00:00,7135DSI007079,136043.23,40,136043.23
CD0231_NSF,Mendis N. S. M. Dr.,"NO.209,KOPIWATTA,RAGAMA.",31/07/2023 00:00,DSR30DSI007081,53205.7,40,45821.2
COLD15104_NSF,S M Medicals,"NO.335/A/1,DAGONNA ROAD,NEGOMBO.",31/07/2023 00:00,7135DSI007082,13140.44,40,13140.44
CD0163_NSF,Sethma Pharmacy,Kandana,31/07/2023 00:00,DSR30DSI007093,33265,40,33265
CD0138_NSF,P.J. ENTERPRISES (PVT) Ltd.,"No.124,Main Street,Ja -ela",31/07/2023 00:00,DSR30DSI007095,83162.5,40,83162.5
CD0080_NSF,Lanka Pharmacy,Negombo,31/07/2023 00:00,DSR30DSI007097,186309,40,186309
CD0083_NSF,Leesons Pharmacy,"33 TEWATTE ROAD,RAGAMA, RAGAMA",31/07/2023 00:00,7135DSI007100,247862.44,40,247862.44
CD0083_NSF,Leesons Pharmacy,"33 TEWATTE ROAD,RAGAMA, RAGAMA",31/07/2023 00:00,7135DSI007114,80435,40,80435
CD0486_NSF,Royal Pharmacy Lanka (Pvt) Ltd.,"No.446,Chilaw Road,Negombo.",31/07/2023 00:00,DSR30DSI007120,118000.24,40,118000.24
CD0141_NSF,Ragama Pharmacy,"34 Tewatta Rd, , Ragama",31/07/2023 00:00,DSR30DSI007121,93805.83,40,93805.83
CD0189_NSF,Thalahena Pharmacy,"177 Pitipana Road,, Negombo",31/07/2023 00:00,DSR30DSI007122,59608.5,40,52721.52
CD0160_NSF,Seeduwa Medicals,Seeduwa,31/07/2023 00:00,DSR30DSI007125,60383.8,40,60383.8
CD0192_NSF,Thrithva Pharmacy,"45 Negambo Road,, Ja-Ela",31/07/2023 00:00,DSR30DSI007128,45087.9,40,37261.8
CD0141_NSF,Ragama Pharmacy,"34 Tewatta Rd, , Ragama",31/07/2023 00:00,7135DSI007135,7441.52,40,7441.52
CD0083_NSF,Leesons Pharmacy,"33 TEWATTE ROAD,RAGAMA, RAGAMA",3/8/2023 0:00,DSR30DSI007140,10974.3,37,10974.3
COLD14591_NSF,V.M. Pharmacy,"NO.345/1/A,NEGOMBO ROAD,PATHIGIGODALLA,KATANA.",3/8/2023 0:00,7135DSI007142,9676.15,37,9676.15
CD0240_NSF,Hiru Pharmacy,"Daman Handiya,",3/8/2023 0:00,DSR30DSI007148,70506.88,37,70506.88
CD0141_NSF,Ragama Pharmacy,"34 Tewatta Rd, , Ragama",3/8/2023 0:00,DSR30DSI007152,111304.96,37,111304.96
CD0259_NSF,Crystal Pharmacy,"No.118,Colombo Rd,Negombo",3/8/2023 0:00,7135DSI007154,52615.03,37,41343.55
CD0189_NSF,Thalahena Pharmacy,"177 Pitipana Road,, Negombo",4/8/2023 0:00,7135DSI007177,24395.66,36,24395.66
CD0060_NSF,Induwara Pharmacy,Seeduwa,4/8/2023 0:00,7135DSI007183,12051.2,36,12051.2
CD0227_NSF,Malithi Pharmacy,"No.186,Rukaththana Handiya,",4/8/2023 0:00,7135DSI007191,31420.29,36,31420.29
COLD21786_NSF,Perera J.K.S.H.(Mrs).Dr.,"NHS ROAD,RADDOLUGAMA.",4/8/2023 0:00,7135DSI007194,37814.1,36,37814.1
CD0133_NSF,Peoples Pharmacy  Grocery,Wattala,4/8/2023 0:00,DSR30DSI007203,41385.39,36,41385.39
CD0160_NSF,Seeduwa Medicals,Seeduwa,4/8/2023 0:00,DSR30DSI007205,74402.16,36,74402.16
CD0020_NSF,Cash Customer - Colombo D,NEGOMBO,5/8/2023 0:00,7135DSI007212,23780.91,35,23780.91
CD0071_NSF,Kalidson Pharmacy,Negombo,5/8/2023 0:00,7135DSI007213,36582.8,35,36582.8
CD0128_NSF,Osu Sala Wattala,Wattala,5/8/2023 0:00,DSR30DSI007215,3704.28,35,3704.28
CD0057_NSF,Hendala Pharmacy,Wattala,5/8/2023 0:00,7135DSI007216,21367.13,35,21367.13
CD0356_NSF,Rusal Pharmacy - (Aloka Dr.),"Channel Center, Red Cross Building, Katana.",5/8/2023 0:00,7135DSI007217,23018.03,35,23018.03
CD0496_NSF,Alliance Pharmacy,"No. 199, Pulinathalarama Road, Magammana, Ragama.",5/8/2023 0:00,7135DSI007220,6141.3,35,6141.3
CD0181_NSF,Super Medical,Negombo,5/8/2023 0:00,7135DSI007225,22945.1,35,22945.1
CD0335_NSF,Calvary Medicals,"25A, St. Marys Road, Ja-Ela.",7/8/2023 0:00,7135DSI007237,11341.66,33,11341.66
CD0016_NSF,Ave Maria Pharmacy,Negombo,7/8/2023 0:00,DSR30DSI007247,10728.18,33,3576.06
CD0510_NSF,Sri Lak Pharmacy,"Kotugoda Road, Mukalangamuwa, Seeduwa.",7/8/2023 0:00,7135DSI007248,27252.58,33,27252.58
CD0293_NSF,St. Joshep Pharmacy,Bopitiya.,7/8/2023 0:00,7135DSI007256,42565.07,33,31293.59
CD0080_NSF,Lanka Pharmacy,Negombo,7/8/2023 0:00,DSR30DSI007260,281195,33,281195
CD0080_NSF,Lanka Pharmacy,Negombo,7/8/2023 0:00,DSR30DSI007261,452479,33,452479
CD0348_NSF,Golden Chemist,"269, Negombo Road, Nagoda Junction, Welisara, Ragama.",7/8/2023 0:00,7135DSI007264,56909.01,33,56909.01
CD0181_NSF,Super Medical,Negombo,7/8/2023 0:00,7135DSI007267,20750.88,33,20750.88
CD0020_NSF,Cash Customer - Colombo D,NEGOMBO,7/8/2023 0:00,7135DSI007268,70506.77,33,70506.77
CD0105_NSF,Negombo Food  Drugs,"49 Mirigama Road, , Negombo",7/8/2023 0:00,DSR30DSI007271,64228.59,33,64228.59
CD0508_NSF,St. Joseph Pharmacy  Grocery,"No. 128D, Minuwangoda Road, Ja-Ela.",7/8/2023 0:00,7135DSI007275,13527.53,33,13527.53
CD0055_NSF,Healthline Pharmacy,Kandana,7/8/2023 0:00,7135DSI007276,39035.36,33,39035.36
CD0356_NSF,Rusal Pharmacy - (Aloka Dr.),"Channel Center, Red Cross Building, Katana.",7/8/2023 0:00,DSR30DSI007281,49670.23,33,49670.23
CD0149_NSF,Roswila Pharmacy,Wattala,8/8/2023 0:00,7135DSI007285,11817.3,32,7096.28
CD0052_NSF,Health  Glow Pharmacy,"223 Negombo Road,  , Wattala",8/8/2023 0:00,7135DSI007286,70903.8,32,70903.8
CD0163_NSF,Sethma Pharmacy,Kandana,8/8/2023 0:00,7135DSI007288,83939.8,32,83939.8
CD0525_NSF,Health  Glow Pharmacy - 2,"No. 272B, Dippitigoda Road, Hunupitiya, Wattala.",8/8/2023 0:00,7135DSI007297,34447.39,32,34447.39
CD0088_NSF,Mahajana Osu Sala,Negombo,8/8/2023 0:00,DSR30DSI007300,11367.5,32,11367.5
CD0068_NSF,Jayanthi Pharmacy,Katunayake,8/8/2023 0:00,7135DSI007301,28093.44,32,28093.44
CD0080_NSF,Lanka Pharmacy,Negombo,8/8/2023 0:00,DSR30DSI007302,11687.1,32,11687.1
CD0356_NSF,Rusal Pharmacy - (Aloka Dr.),"Channel Center, Red Cross Building, Katana.",8/8/2023 0:00,7135DSI007303,39391,32,39391
CD0053_NSF,Health Care Medicla,"38 Galakanda Junction,  , Negombo",8/8/2023 0:00,DSR30DSI007305,27502.26,32,27502.26
CD0149_NSF,Roswila Pharmacy,Wattala,8/8/2023 0:00,7135DSI007315,8269.19,32,8269.19
CD0052_NSF,Health  Glow Pharmacy,"223 Negombo Road,  , Wattala",8/8/2023 0:00,7135DSI007319,38587.89,32,38587.89
CD0181_NSF,Super Medical,Negombo,8/8/2023 0:00,DSR30DSI007322,30129.86,32,30129.86
CD0167_NSF,Silveray Pharmacy,Negombo,8/8/2023 0:00,DSR30DSI007324,13650.44,32,13650.44
CD0052_NSF,Health  Glow Pharmacy,"223 Negombo Road,  , Wattala",8/8/2023 0:00,DSR30DSI007325,15158.97,32,15158.97
CD0481_NSF,Reliance Pharmacy,"No. 213, Colombo Road, Negombo.",8/8/2023 0:00,DSR30DSI007330,34087.6,32,34087.6
COLD56566_NSF,St. Mary's Osu Sala,"NO.204/B/1,COLOMBO ROAD,USWETAKEIYAWA.",8/8/2023 0:00,7135DSI007332,23634.6,32,23634.6
CD0348_NSF,Golden Chemist,"269, Negombo Road, Nagoda Junction, Welisara, Ragama.",8/8/2023 0:00,DSR30DSI007334,50441.43,32,50441.43
CD0145_NSF,Reliable Pharmacy,"505 Negombo Road,, Ragama",8/8/2023 0:00,DSR30DSI007335,51201.71,32,51201.71
CD0163_NSF,Sethma Pharmacy,Kandana,8/8/2023 0:00,DSR30DSI007340,132795.28,32,132795.28
CD0336_NSF,Family Care Pharmacy  Groceries,"427C, Dalupitiya Road, Enderamulla, Wattala.",9/8/2023 0:00,DSR30DSI007344,24153.85,31,24153.85
CD0057_NSF,Hendala Pharmacy,Wattala,9/8/2023 0:00,7135DSI007345,12330.26,31,2031.16
CD0549_NSF,Lakshan Chemist,"No. 6911, Negombo Road, Mabole, Wattala.",9/8/2023 0:00,7135DSI007346,55890.03,31,55890.03
CD0346_NSF,Laksi Pharmacy,"No. 27, Negombo Road, Peliyagoda.",9/8/2023 0:00,7135DSI007347,21961.62,31,21961.62
CD0539_NSF,Thenuka Pharmacy,"No. 306, Kimbulapitiya Road, Akkarapanaha, Negombo.",9/8/2023 0:00,7135DSI007348,100729.61,31,100729.61
CD0189_NSF,Thalahena Pharmacy,"177 Pitipana Road,, Negombo",9/8/2023 0:00,DSR30DSI007349,89676.48,31,89676.48
CD0189_NSF,Thalahena Pharmacy,"177 Pitipana Road,, Negombo",9/8/2023 0:00,DSR30DSI007350,28349.34,31,28349.34
CD0083_NSF,Leesons Pharmacy,"33 TEWATTE ROAD,RAGAMA, RAGAMA",9/8/2023 0:00,DSR30DSI007352,15456.7,31,15456.7
CD0141_NSF,Ragama Pharmacy,"34 Tewatta Rd, , Ragama",9/8/2023 0:00,DSR30DSI007355,94448.56,31,73028.05
CD0259_NSF,Crystal Pharmacy,"No.118,Colombo Rd,Negombo",9/8/2023 0:00,DSR30DSI007358,79116.16,31,79116.16
CD0145_NSF,Reliable Pharmacy,"505 Negombo Road,, Ragama",9/8/2023 0:00,7135DSI007359,29518.53,31,29518.53
CD0023_NSF,City Medical,"299 Main treet, , Negombo",9/8/2023 0:00,DSR30DSI007363,16632.5,31,16632.5
CD0145_NSF,Reliable Pharmacy,"505 Negombo Road,, Ragama",9/8/2023 0:00,DSR30DSI007364,18630.9,31,18630.9
CD0194_NSF,Unique Pharmacy,"103 Colombo Road,, Negombo",9/8/2023 0:00,DSR30DSI007372,258475.75,31,258475.75
COLD13957_NSF,Negombo Drugs,"NO.79B,SEA STREET,NEGOMBO.",9/8/2023 0:00,DSR30DSI007374,9260.9,31,9260.9
CD0107_NSF,New Central Pharmacy,Negombo,9/8/2023 0:00,DSR30DSI007378,32111.35,31,32111.35
CD0492_NSF,Radiant Eye Hospital,"Negombo Road, Seeduwa.",9/8/2023 0:00,7135DSI007379,5133.92,31,5133.92
CD0163_NSF,Sethma Pharmacy,Kandana,9/8/2023 0:00,7135DSI007381,86388.11,31,46901.96
CD0080_NSF,Lanka Pharmacy,Negombo,10/8/2023 0:00,DSR30DSI007383,34683,30,34683
CD0080_NSF,Lanka Pharmacy,Negombo,10/8/2023 0:00,DSR30DSI007384,41512.5,30,41512.5
CD0396_NSF,Hansi Pharmacy,"No. 440, Negombo Road, Kapuwatta, Ja-Ela.",10/8/2023 0:00,DSR30DSI007385,17860.9,30,17860.9
COLD15133_NSF,Well Care Pharmacy,"NO.3/1,B,DISAGEWATTA,KATANA.",10/8/2023 0:00,DSR30DSI007386,19099.75,30,15474.51
CD0073_NSF,Kapuwatha Pharmacy,Ja-Ela,10/8/2023 0:00,7135DSI007388,29178.68,30,29178.68
